Author,Quote,URL
Ал-Халладж,"Тот, кто взглянул на солнце и затем посмотрел на себя, видит, что наполнен не чем иным, как солнечными лучами, и он восклицает: «Я — солнце!».",http://forismatic.com/ru/2328030154/
Альберт Эйнштейн,"Только те, кто предпринимают абсурдные попытки, смогут достичь невозможного. ",http://forismatic.com/ru/6bf343f7c5/
Амос Бронсон Олкотт,"Мы добираемся до вершин чаще всего по обломкам наших заветных замыслов, обнаруживая, что успех нам принесли именно наши неудачи.",http://forismatic.com/ru/141cec1d21/
Анахарсис,"Удивительно, как при начале пира пьют из малых чаш, а с полными желудками — из больших. ",http://forismatic.com/ru/d6755744b7/
Бенджамин Франклин,"Человек живет не тем, что съедает, а тем, что переваривает. Это одинаково справедливо для ума и для тела.",http://forismatic.com/ru/c5574bbba6/
Блез Паскаль,"Счастье заключается только в покое, а не в суете.",http://forismatic.com/ru/40ad7379ea/
Будда Гаутама,"Если не найдешь разумного друга, готового идти вместе, праведно живущего, мудрого, — иди один, как царь, отказавшийся от завоеванного царства, или как слон в слоновом лесу. ",http://forismatic.com/ru/1505e2dba7/
Будда Гаутама,"Ведь некоторые не знают, что нам суждено здесь погибнуть. У тех же, кто знает это, сразу прекращаются ссоры. ",http://forismatic.com/ru/6b146f918e/
Будда Гаутама,"Хорошо сказанное слово человека, следующего ему, плодоносно, как прекрасный цветок с приятной окраской и благоухающий. ",http://forismatic.com/ru/bd239dfd2f/
Вантала,"Узнавая от других о себе, ты даешь им власть над собой. ",http://forismatic.com/ru/dd5d76d0ee/
Вантала,"Узнавая, ты узнаешь не все. ",http://forismatic.com/ru/dbc4c765e8/
Генрик Ибсен,"Настоящий признак, по которому можно узнать истинного мудреца — терпение. ",http://forismatic.com/ru/412a9ba7bb/
Джек Лондон,"Все прекрасное прекрасно до тех пор, пока ты им не обладаешь. ",http://forismatic.com/ru/e035f06390/
Дмитрий Иванович Писарев,"Кто заранее считает себя побежденным, тот действительно побежден наполовину до начала самой борьбы.",http://forismatic.com/ru/9eab0ca56b/
Карлос Кастанеда,"Мир — это все, что заключено здесь. Жизнь, смерть, люди и все остальное, что окружает нас. Мир необъятен и непостижим. Мы никогда не сможем понять его. Поэтому мы должны принимать его таким, как он есть, — чудесной загадкой.",http://forismatic.com/ru/fada47ebaa/
Кодо Саваки Роси,"Неожиданный дождь прерывает спор об орошении рисовых полей. Так как в споре речь шла просто о воде на полях, то дождь решает все проблемы.",http://forismatic.com/ru/9ad4fc2a47/
Конфуций,"Как мы можем узнать что такое смерть, когда мы не знаем еще что такое жизнь. ",http://forismatic.com/ru/ca374e4c32/
Лев Толстой,"Красноречие, точно жемчуг, блещет содержанием. Настоящая мудрость немногословна.",http://forismatic.com/ru/e9bc75cc07/
Лев Толстой,"Пчеле, чтобы жить по своему закону, надо летать, змее ползать, рыбе плавать, а человеку любить. И потому, если человек, вместо того чтобы любить людей, делает зло людям, он поступает так же странно, как если бы птица стала плавать, а рыба — летать.",http://forismatic.com/ru/b53ab2d038/
Лукреций,"Пока у нас нет того, к чему мы стремимся, эта вещь нам кажется высшим благом; а, получив ее, мы начинаем столь же страстно желать чего-то другого.",http://forismatic.com/ru/8dd2107441/
Оскар Уайльд,"Все равноценно, равнозначно.",http://forismatic.com/ru/7da864ef92/
Публий Вергилий Марон,Смелым помогает судьба. ,http://forismatic.com/ru/b593ab0662/
Ральф Эмерсон,Добродетельные люди черпают силы даже в слабостях и недостатках. ,http://forismatic.com/ru/c93e2f177d/
Ричард Карлсон ,"Нет лучшего времени для счастья, чем настоящее. Если не сейчас, то когда-же?",http://forismatic.com/ru/71ae2e094c/
Сергей Азарин,"Сила без движения — это мертвая сила. Пока слон стоит на месте, можно сколь угодно долго удивляться его размерам, но так и не узнать насколько он силен. ",http://forismatic.com/ru/64db9f5110/
Уильям Шекспир,"Наша личность — это сад, а наша воля — его садовник. ",http://forismatic.com/ru/f067c0da5b/
Хун Цзычен,"Лишь пожив внизу, узнаешь, как опасно карабкаться наверх. Лишь побывав в темноте, узнаешь, как ярок солнечный свет. Лишь храня покой, узнаешь, как много сил тратят те, кто находится в движении. Лишь пестуя молчание, понимаешь, как суетно многословие.",http://forismatic.com/ru/90e26702c7/
Чак Норрис,"Способность говорить «нет» искушению означает, на самом деле, умение говорить «да» тому, во что вы верите, своим основным целям. ",http://forismatic.com/ru/f9c4984429/
Шри Чинмой,Первое и последнее послание жизни: ожидай — и ты никогда не получишь. ,http://forismatic.com/ru/2df36a7008/
Эзоп,"Если кому-нибудь везет, не завидуй ему, а порадуйся с ним вместе, и его удача будет твоей. ",http://forismatic.com/ru/5e13c2bd65/
